KIC,TIC
2285208,120970531
5369520,138426805
6435985,122066934
7975417,272717183
9287814,271164174
2976009,121395656
5567762,172770539
10092003,273378207
3946338,121939328
8160525,159221152
9905951,273130851
7849221,268924034
8525286,185059475
6466316,170250669
11597946,48421754
8686690,159520919
10056376,164407253
6951827,63371726
9696672,164784123
8054042,268605638
5618075,137089765
5388314,170647343
7581465,351765931
7919620,239239777
6356847,122066861
7439209,159219232
7202957,63368895
8891684,270857293
10880482,264508768
8491318,159385147
9657548,271425342
10663892,350812380
10130243,158413657
9140922,164882337
7663493,164529434
7977623,273139467
10848553,350812731
4365860,351063852
5026086,184090583
6445025,137757459
6026981,120688613
9472635,271255278
8742953,158391803
10464214,159052095
8625833,63127068
8690059,63127231
8542671,164554238
11821308,27455857
5814635,169824160
8411702,123497835
9697057,164832941
5726596,169178994
12304981,267672784
9413637,271773425
7101833,158216218
9283895,275489880
11072334,48506547
7597569,158720768
10521740,351908086
4738722,121947865
5106755,138434554
3972467,184243699
3102521,121276667
8574496,272719929
9589411,63206434
6139982,184426690
2309585,137890401
3940800,121122841
4562228,351064812
10784718,405719810
9146914,158728720
6932962,158216445
4277363,139034267
5990786,171972655
10537909,240177035
11810557,267671523
3548737,137633893
8564531,270615163
5938905,237158379
7949304,158495932
11868790,27082676
7672741,158720478
10359458,274199970
9851844,268387212
8105778,271160248
9289960,271663787
4076893,184416792
10406102,63204450
11600633,405684454
5534177,137406541
7985919,268825444
5559500,170344544
6951693,63371756
8344592,123362025
10687625,268705706
3119585,137485201
7017209,158167357
9837215,271040860
8573846,272606962
7671055,158432852
10070076,159174527
7017037,279916131
4470809,138104305
8263826,184998195
7967416,271046962
7985382,268605266
9639455,158393578
10095775,268381369
5215966,171027688
5951458,121796770
5629985,378090151
7050763,272375370
1160655,122674554
9590395,63452633
8312275,272174623
5446366,122712723
9837477,271040765
3744408,122605825
8970967,273242602
9077074,158212752
5350100,121333623
4247423,121086224
5774557,120689099
8086934,158495310
6022075,237190586
12208125,350738491
7967517,271046960
6503412,164729960
9540150,272845540
9003287,164554982
11904669,405683955
4930040,138216375
3229448,122142753
10483391,272598334
11069073,48216411
9653109,270518525
7201407,63123613
8941307,158326123
8907309,268156057
9159892,270787893
3869285,184300232
7109265,158926905
10525205,158489063
11133857,267669799
5470969,169558067
8244913,271886104
9851845,268387119
5893500,184561196
11819997,27308556
8329631,184997743
4927595,137897391
9225115,271042822
10960750,48217508
9643552,159050344
7674109,158796474
8511039,273038911
4246478,120961035
10279655,270853004
4471413,138215136
10160694,273872632
10880291,264508717
4949473,170234401
7202187,63212644
10990346,28356866
7259202,164411227
10002496,158561073
7905091,272372008
9884243,158841119
4142794,121215113
9826460,159175064
5963792,137900482
5444303,122446168
12102385,405689129
7958659,159719687
9153913,159761665
8248182,272608514
8430412,63001569
3627888,120572401
7886093,159306170
4844622,138643395
6199665,122296978
11182890,298784863
5961063,137410579
10522260,279844966
11862267,417657006
7679166,159449111
7747835,159219848
11662049,26582887
8247378,272489711
8500291,270701504
5559034,170344152
8682555,158988792
12349992,399915594
3545533,137318533
5601185,120422622
4667812,138972189
11294574,290034574
9778091,271254247
6467377,170653034
7174058,123233369
11197512,27395065
4276419,138891302
5037825,170347168
6836140,123231981
5520516,121272544
4060439,137632437
5393239,171880157
8739527,164890380
10963451,48505362
6382637,168810327
3444382,137318199
7671948,158556160
7916726,268826500
10516401,123494236
12317121,27844309
10555586,268383107
10514429,123309788
10722768,298965744
9837847,271165820
5182590,122446636
2847816,122375481
11615358,27083431
6468138,274118253
10322244,164524508
7125725,270862998
10129412,158322357
4574474,138892469
8555186,159222089
8743186,158419138
8259544,269120751
12165518,27309628
9873010,351897850
7585224,123489695
6619957,271755294
8332109,185287131
4278401,139106729
7897847,270860489
8802494,164653412
9596183,271354341
9594041,270957354
3863540,138806459
8487796,158844274
8539255,123361656
5078124,350988651
12305163,267746099
11825198,27992231
10358240,273873329
6421139,377730980
9005972,164882523
9480535,273132601
5709756,138095919
8773654,274021879
2555979,120824761
8685222,159386408
4170143,378011431
5795128,138096104
6381393,360021743
7418046,123316845
2853280,137220390
5892974,184427582
8197733,185057539
8115285,273138816
4071477,139034740
10226646,273872879
2013145,122782960
9019624,159580771
7664136,164643626
7602605,159307000
10489340,273875198
3440796,122518897
8332786,185335640
8777770,268929429
11862515,417677935
7128783,271346474
7091724,123316416
10473929,275577635
6962668,271960355
5954815,122296477
7106053,158631418
7129264,271434219
8515297,273787505
6425073,120318947
7133886,272184110
3967760,138890353
5450019,137555617
10990267,28356805
5961470,137410469
6058875,184426993
11339421,350813744
5528445,122299853
5943863,120578357
12157006,267746514
5906426,171973015
5545211,138968680
9603310,273132144
4574976,138972602
11599387,48504294
9006862,352013342
7060665,268164806
9226780,271426928
10619988,268057021
8703563,272720395
7582186,123199082
9071895,164527275
9466042,63206684
12110505,26413391
4366173,351063838
10149895,271423792
4156185,137093009
4072800,184014207
11355919,27186284
10317904,123129354
3356343,138808461
6057233,184253558
7022196,158633648
3547247,137484076
3340265,122684030
11352256,26748733
6604490,159654124
4379290,138973091
5951409,121796668
10252672,123206705
10206340,159644070
10488647,273681861
4480561,184165486
7691011,271158767
12017921,27082135
9475778,272074952
5272524,122713098
4660819,138215721
4761101,184089536
7202701,63283000
8308903,271430099
11869986,27308655
8702290,272368672
12169622,27844683
5866135,121602223
4839076,137762347
11918317,27006672
5020824,377917680
10063094,158210977
10580434,123446216
4843255,138435466
6346249,120318995
4645420,121866179
4576629,184012668
9935390,164524065
10611772,272280250
6126675,137758841
8520433,269119053
5693587,121332944
2142501,120964167
12555197,416267147
12055401,298786655
9650501,63206269
4177216,184244293
10459945,158412689
5978257,360023050
8947597,159176956
6222668,360022416
5811881,169178948
12166343,27398094
4484271,184555994
9395987,158626365
7504769,164460731
6223352,239228672
